└─$ cat selected.txt commands.txt 
copy.txt:1:USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
copy.txt:66:root          90  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-tpm_d]
copy.txt:67:root          91  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-edac-]
copy.txt:68:root          92  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-devfr]
copy.txt:69:root          93  0.0  0.0      0     0 ?        I<   06:25   0:01 [kworker/0:1H-kblockd]
copy.txt:70:root          94  0.0  0.0      0     0 ?        S    06:25   0:01 [kswapd0]
copy.txt:71:root         100  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-kthro]
copy.txt:72:root         102  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-acpi_]
copy.txt:73:root         103  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-mld]
copy.txt:74:root         104  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-ipv6_]
copy.txt:75:root         109  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-kstrp]
copy.txt:76:root         118  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-crypt]
copy.txt:77:root         171  0.0  0.0      0     0 ?        I    06:25   0:00 [kworker/3:1-events]
copy.txt:78:root         201  0.0  0.0      0     0 ?        I<   06:25   0:06 [kworker/7:1H-kblockd]
copy.txt:79:root         211  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/3:1H-kblockd]
copy.txt:80:root         212  0.0  0.0      0     0 ?        I<   06:25   0:01 [kworker/1:1H-kblockd]
copy.txt:81:root         217  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/5:1H-kblockd]
copy.txt:82:root         220  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/2:1H]
copy.txt:83:root         221  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/4:1H-kblockd]
copy.txt:84:root         226  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/6:1H-kblockd]
copy.txt:85:root         257  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-ata_s]
copy.txt:86:root         270  0.0  0.0      0     0 ?        S    06:25   0:00 [scsi_eh_0]
copy.txt:87:root         271  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-scsi_]
copy.txt:88:root         272  0.0  0.0      0     0 ?        S    06:25   0:00 [scsi_eh_1]
copy.txt:89:root         273  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-scsi_]
copy.txt:90:root         274  0.0  0.0      0     0 ?        S    06:25   0:00 [scsi_eh_2]
copy.txt:91:root         275  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-scsi_]
copy.txt:92:root         276  0.0  0.0      0     0 ?        S    06:25   0:00 [scsi_eh_3]
copy.txt:93:root         277  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-scsi_]
copy.txt:94:root         278  0.0  0.0      0     0 ?        S    06:25   0:00 [scsi_eh_4]
copy.txt:95:root         279  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-scsi_]
copy.txt:96:root         280  0.0  0.0      0     0 ?        S    06:25   0:02 [usb-storage]
copy.txt:97:root         281  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-amdgp]
copy.txt:98:root         282  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-ttm]
copy.txt:99:root         283  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-uas]
copy.txt:100:root         289  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-amdgp]
copy.txt:101:root         290  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-amdgp]
copy.txt:102:root         291  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-amdgp]
copy.txt:103:root         292  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-amdgp]
copy.txt:104:root         293  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-amdgp]
copy.txt:105:root         294  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-dm_vb]
copy.txt:106:root         299  0.0  0.0      0     0 ?        S    06:25   0:00 [card0-crtc0]
copy.txt:107:root         300  0.0  0.0      0     0 ?        S    06:25   0:00 [card0-crtc1]
copy.txt:108:root         301  0.0  0.0      0     0 ?        S    06:25   0:00 [card0-crtc2]
copy.txt:109:root         302  0.0  0.0      0     0 ?        S    06:25   0:00 [card0-crtc3]
copy.txt:110:root         303  0.0  0.0      0     0 ?        S    06:25   0:00 [card0-crtc4]
copy.txt:111:root         304  0.0  0.0      0     0 ?        S    06:25   0:00 [card0-crtc5]
copy.txt:112:root         361  0.0  0.0      0     0 ?        S    06:25   0:00 [jbd2/sda1-8]
copy.txt:113:root         362  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-ext4-]
copy.txt:114:root         423  0.0  0.1  67816 18184 ?        Ss   06:25   0:00 /usr/lib/systemd/systemd-journald
copy.txt:115:root         464  0.0  0.0  29480  7632 ?        Ss   06:25   0:00 /usr/lib/systemd/systemd-udevd
copy.txt:116:root         470  0.0  0.0      0     0 ?        S    06:25   0:00 [psimon]
copy.txt:117:root         557  0.0  0.0      0     0 ?        S    06:25   0:00 [irq/36-mei_me]
copy.txt:118:root         559  0.0  0.0      0     0 ?        S    06:25   0:00 [watchdogd]
